is_std,ftd_price,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,max_win_multiplier,min_win_multiplier,avg_total_wins,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_emerald_ruby_rate,wildball_specia_diamond_rate,vv_completed_rate
0,4.99,0.57,0.43,53.39,123.4,3.6,0.35,301381.81,1,2.36,0.24,848,2542,0,0,0.14,0,0.57,0.43,0,0,0.29
0,9.99,0.67,1,63.76,110.33,10.5,0.29,1377720.68,0.64,0.99,0.26,18,37,0,0,0,0.33,0.17,0.67,0.17,0,0.33
0,4.99,1,0.33,80.42,125.13,49,0.34,575596.29,0.87,0.88,0.85,48,88,0,0,0.67,0,0.2,0.5,0.3,0,0.33
0,4.99,1,0.75,22.35,26,19.07,0.4,149553.42,0.72,0.77,0.63,3,7,0,0,0,0,0.67,0.33,0,0,0.25
1,4.99,1,3,41.25,52.5,30.45,0.41,278939.43,0.73,0.77,0.7,61,123,0,0,0,0,0.75,0.25,0,0,0
1,4.99,0,0,38.97,43.75,33,0.29,437300.13,0.87,1.14,0.7,369,397,319,0,0,0,0.4,0.4,0.2,0,0
0,2.99,0.75,10,59.42,102.27,16,0.34,112685.87,0.67,0.72,0.57,5,15,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25
0,2.99,1,27.75,47.55,124.5,14.47,0.45,151651.42,0.81,1.17,0.61,41,150,0,0,0.25,0.13,0.54,0.31,0.15,0,0.63
1,4.99,0.75,0.75,59.61,146.53,10.4,0.33,408135.59,0.68,1,0.47,141,342,0,1,0,0,0.27,0.45,0.27,0,0.25
0,9.99,0.88,1.5,38.61,186,1,0.48,949623.58,0.35,1.11,0.08,33,106,0,0,0,0,0.5,0.5,0,0,0.13
1,4.99,0.4,0.2,119.75,270,3,0.26,219500.79,0.73,1.13,0.16,215,326,32,0,0.4,0,0.25,0.19,0.06,0.5,0.8
1,4.99,0.8,0.6,63.51,133.95,12.88,0.48,303908.48,1.03,2.25,0.39,44,172,0,0,0.2,0,0.5,0.17,0,0.33,0.6
0,2.99,0,0,32.36,35.57,29.15,0.35,273208.99,0.54,0.63,0.45,24,28,20,0,0,0,0,1,0,0,0
0,4.99,1,1,5.07,31.67,0,0.22,499895.18,0.14,0.47,0,0,0,0,0,0.14,0.14,0.5,0.5,0,0,0
1,4.99,1,11.8,208.57,412.12,58.18,0.37,185165.91,0.82,0.87,0.67,10,16,0,1,0.4,0,0.29,0.42,0.17,0.13,1
0,4.99,0.88,9.38,46.76,123.58,2.33,0.51,5683520.67,0.72,1.02,0.42,11,40,0,0.5,0.25,0.25,0.4,0.2,0.3,0.1,0.38
0,4.99,0.33,0.67,54.24,126,8,0.24,361257.86,0.8,1.7,0.31,190,523,15,0,0,0,0.25,0.75,0,0,0
0,4.99,0.5,2.25,18.65,37.07,0.23,0.26,8914078.21,0.5,0.91,0.08,0,0,0,0,0,0,0,0,0,0,0
