is_std,ftd_price,max_win_multiplier,avg_total_wins,avg_wager,wildball_silver_rate,wildball_specia_diamond_rate,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,min_win_multiplier,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_gold_rate,wildball_emerald_ruby_rate,vv_completed_rate,,,,
0,4.99,123.4,0.35,301381.81,0.57,0,0.57,0.43,53.39,3.6,1,2.36,0.24,848,2542,0,0,0.14,0,0.43,0,0.29,,,,
0,9.99,110.33,0.29,1377720.68,0.17,0,0.67,1,63.76,10.5,0.64,0.99,0.26,18,37,0,0,0,0.33,0.67,0.17,0.33,,,,
0,4.99,125.13,0.34,575596.29,0.2,0,1,0.33,80.42,49,0.87,0.88,0.85,48,88,0,0,0.67,0,0.5,0.3,0.33,,,,
0,4.99,26,0.4,149553.42,0.67,0,1,0.75,22.35,19.07,0.72,0.77,0.63,3,7,0,0,0,0,0.33,0,0.25,,,,
1,4.99,52.5,0.41,278939.43,0.75,0,1,3,41.25,30.45,0.73,0.77,0.7,61,123,0,0,0,0,0.25,0,0,,,,
1,4.99,43.75,0.29,437300.13,0.4,0,0,0,38.97,33,0.87,1.14,0.7,369,397,319,0,0,0,0.4,0.2,0,,,,
0,2.99,102.27,0.34,112685.87,0.25,0.25,0.75,10,59.42,16,0.67,0.72,0.57,5,15,0,0,0.25,0,0.25,0.25,0.25,,,,
0,2.99,124.5,0.45,151651.42,0.54,0,1,27.75,47.55,14.47,0.81,1.17,0.61,41,150,0,0,0.25,0.13,0.31,0.15,0.63,,,,
1,4.99,146.53,0.33,408135.59,0.27,0,0.75,0.75,59.61,10.4,0.68,1,0.47,141,342,0,1,0,0,0.45,0.27,0.25,,,,
0,9.99,186,0.48,949623.58,0.5,0,0.88,1.5,38.61,1,0.35,1.11,0.08,33,106,0,0,0,0,0.5,0,0.13,,,,
1,4.99,270,0.26,219500.79,0.25,0.5,0.4,0.2,119.75,3,0.73,1.13,0.16,215,326,32,0,0.4,0,0.19,0.06,0.8,,,,
1,4.99,133.95,0.48,303908.48,0.5,0.33,0.8,0.6,63.51,12.88,1.03,2.25,0.39,44,172,0,0,0.2,0,0.17,0,0.6,,,,
0,2.99,35.57,0.35,273208.99,0,0,0,0,32.36,29.15,0.54,0.63,0.45,24,28,20,0,0,0,1,0,0,,,,
0,4.99,31.67,0.22,499895.18,0.5,0,1,1,5.07,0,0.14,0.47,0,0,0,0,0,0.14,0.14,0.5,0,0,,,,
1,4.99,412.12,0.37,185165.91,0.29,0.13,1,11.8,208.57,58.18,0.82,0.87,0.67,10,16,0,1,0.4,0,0.42,0.17,1,,,,
0,4.99,123.58,0.51,5683520.67,0.4,0.1,0.88,9.38,46.76,2.33,0.72,1.02,0.42,11,40,0,0.5,0.25,0.25,0.2,0.3,0.38,,,,
0,4.99,126,0.24,361257.86,0.25,0,0.33,0.67,54.24,8,0.8,1.7,0.31,190,523,15,0,0,0,0.75,0,0,,,,
0,4.99,37.07,0.26,8914078.21,0,0,0.5,2.25,18.65,0.23,0.5,0.91,0.08,0,0,0,0,0,0,0,0,0,,,,
1,4.99,91.73,0.39,526497.66,0.63,0.13,1,4.75,55.77,7,0.83,0.93,0.73,0,0,0,0,0.25,0,0.25,0,0.5,,,,
0,4.99,73.9,0.37,1048796.77,0.22,0.78,0.13,0.13,36.56,2.9,0.75,1.02,0.33,34,60,19,0,0.25,0,0,0,0,,,,
0,9.99,160,0.42,574537.74,0.52,0.41,0.6,15.6,84.85,52.5,0.83,0.98,0.63,22,61,0,0,0.4,0,0.03,0.03,1,,,,
0,24.99,112.9,0.38,625731.24,0.31,0.5,0.13,0.13,60.69,8,0.96,1.47,0.45,3154,4280,420,0.33,0,0.13,0.13,0.06,0.63,,,,
1,4.99,57.5,0.52,1121356.43,0,0,0.67,1,43.75,30,0.93,0.96,0.9,0,0,0,0,0,0,0,0,0,,,,
0,4.99,156.87,0.43,249601.96,0.67,0,1,12.43,39.77,0.7,0.59,0.87,0.11,1,3,0,0,0.43,0.29,0.33,0,0.14,,,,
0,4.99,83.67,0.33,783901.65,0.5,0,0.8,0.6,28.72,1.07,0.57,0.78,0.14,2,5,0,0,0.2,0.2,0,0.5,0,,,,
0,4.99,190.2,0.3,157141.48,0.8,0,0.33,0.33,176.1,162,0.94,0.98,0.91,191,194,188,0,0,0,0.2,0,0.33,,,,
0,9.99,60.5,0.28,326403.68,0.43,0,0.33,3,52.06,43.61,1.03,1.26,0.79,2686,5090,282,0,0,0,0.57,0,0,,,,
0,4.99,87.87,0.34,438638.51,0.25,0,0.38,4.5,43.83,9.82,0.9,1.6,0.37,81,211,0,0,0.13,0.13,0.5,0.25,0.13,,,,
1,4.99,262,0.33,385327.13,0.42,0,0.75,47.25,107.58,2.67,0.83,1.55,0.25,72,276,1,1,0.5,0.25,0.42,0.16,0.5,,,,
0,4.99,12,0.31,1211500,0,0,0.17,0.33,12,12,0.46,0.46,0.46,26,26,26,0,0,0,0,0,0,,,,
1,4.99,208.87,0.28,194368.7,0.46,0,1,28,114.73,56.33,0.72,1.12,0.35,112,336,0,0,0,0,0.46,0.08,0.67,,,,
1,4.99,138.19,0.38,424170.27,0.31,0,0.75,46.38,74.84,21.33,0.78,1.16,0.53,83,211,0,0,0,0,0.46,0.24,0.88,,,,
1,24.99,101,0.38,36934273.43,0,0,0.67,1,50.07,14.25,1.11,2.08,0.59,162,472,0,0,0,0,0,0,0,,,,
0,4.99,100,0.51,465986.78,0.2,0.5,0.71,12.43,53.82,11.17,0.82,1.03,0.7,49,139,0,0,0.29,0,0.3,0,0.57,,,,
1,4.99,141.13,0.42,252865.62,0.13,0.75,1,15.33,93.31,41.2,0.85,0.88,0.77,35,105,0,0,0.33,0,0.13,0,0.67,,,,
0,24.99,180.5,0.41,763963.6,0,0,0.13,1.5,79.79,26.74,1.29,2.67,0.59,5025,9498,1545,0,0,0,1,0,0,,,,
0,4.99,100,0.44,147120.34,0.6,0.2,0,0,60.45,33.58,0.88,1.14,0.74,233,382,99,0,0,0,0.2,0,0,,,,
1,4.99,346.07,0.33,569820.82,0.47,0.06,0.14,6,150.76,38.67,0.88,1.21,0.56,322,1063,11,0.2,0,0,0.35,0.12,1,,,,
1,4.99,113,0.42,2754583.18,0.36,0,1,3,56,5,0.75,1.09,0.5,67,184,0,0.5,0,0,0.45,0.18,0.67,,,,
0,9.99,14.93,0.39,698561.53,0,0,0,0,5.21,0.33,0.29,0.58,0.13,145,223,87,0,0,0,0,0,0,,,,
0,4.99,228.45,0.51,405542.51,0.6,0,1,379.38,53.23,7.24,0.87,0.94,0.76,6,12,0,0,0,0,0.2,0.2,0.5,,,,
1,49.99,173.64,0.32,1104549.12,0.21,0.4,0,0,88.94,56.33,0.85,1.1,0.63,2412,5272,601,1,0,0,0.32,0.08,1,,,,
