is_std,ftd_price,min_level,avg_win_stddevsamp,max_win_stddevsamp,min_win_stddevsamp,num_days_ooc_rate,sum_total_ooc_rate,mailbox_wb_rate,mailbox_vault_key_chips_rate,mailbox_vault_coins_rate,spins_completed_rate,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,avg_daily_bonus_amount,max_daily_bonus_amount,min_daily_bonus_amount,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_ruby_rate,wildball_emerald_rate,wildball_specia_diamond_rate,vv_completed_rate
0,4.99,111,1.60,1.60,1.60,0.33,0.33,0.00,0.00,0.00,50,1044768,0.41,0.41,0.41,0,0,0,550000,550000,550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,463,1.51,2.01,1.02,0.25,0.25,0.00,0.00,0.25,38,915365,0.70,1.00,0.40,40,46,34,1075000,1300000,850000,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,113,1.89,2.04,1.75,0.67,1.00,0.00,0.00,0.00,50,1620000,0.53,0.53,0.53,0,0,0,875000,1200000,550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,99.99,130,0.72,1.44,0.00,0.25,0.25,0.00,0.00,0.25,38,61080966,0.29,0.53,0.00,36,74,19,1100000,1500000,700000,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,49.99,946,1.94,1.94,1.94,0.00,0.00,0.00,0.00,0.00,50,1662285,0.35,0.35,0.35,1598,1598,1598,1200000,1200000,1200000,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.33
0,4.99,374,2.64,2.64,2.64,0.00,0.00,0.00,0.00,0.00,19,2192073,0.67,0.67,0.67,54,54,54,950000,950000,950000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,9.99,199,0.72,1.81,0.20,0.57,0.57,0.00,0.00,0.14,22,1504181,0.25,0.52,0.12,2,4,0,810000,1300000,550000,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,47,6.97,7.73,6.21,0.00,0.00,0.00,0.00,0.00,51,3124104,2.18,2.86,1.50,225,326,124,875000,900000,850000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,33,1.88,1.91,1.85,0.00,0.00,0.00,0.00,0.00,51,52914,0.68,0.79,0.58,427,429,426,975000,1000000,950000,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,42,5.30,13.71,0.85,0.00,0.00,0.00,0.00,0.17,25,2036424,2.39,6.88,0.59,246,596,100,2387500,3000000,1550000,0.00,0.33,0.17,1.00,0.00,0.00,0.00,0.00,0.00
0,4.99,504,1.53,1.53,1.53,0.00,0.00,0.00,0.00,0.00,19,25000050,0.58,0.58,0.58,17,17,17,600000,600000,600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,47,2.71,2.71,2.71,0.00,0.00,0.00,0.00,0.00,31,2709804,0.77,0.77,0.77,41,41,41,1350000,1350000,1350000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0,4.99,37,1.47,1.47,1.47,0.00,0.00,0.00,0.00,0.00,38,668250,0.49,0.49,0.49,1,1,1,1528160,3153127,813786,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,281,1.01,1.88,0.13,0.50,0.50,0.00,0.00,0.13,19,1620000,0.29,0.53,0.09,0,1,0,1187500,2000000,800000,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00
1,4.99,123,1.04,1.57,0.00,0.80,1.20,0.00,0.00,0.00,31,1006667,0.44,0.76,0.00,0,0,0,2350000,5000000,550000,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4.99,109,4.35,5.77,2.94,0.33,0.33,0.00,0.00,0.00,51,4405353,1.34,2.04,0.64,42,84,0,875000,1200000,550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,136,1.53,2.02,1.05,0.00,0.00,0.00,0.00,0.13,19,905044,0.31,0.44,0.18,75,101,50,900000,1000000,800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,41,1.23,1.23,1.23,0.33,0.67,0.00,0.00,0.00,51,180096,0.43,0.43,0.43,382,382,382,700000,700000,700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,123,3.00,3.00,3.00,0.14,0.14,0.00,0.00,0.00,22,1239742,0.68,0.68,0.68,35,35,35,600000,600000,600000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.14
0,9.99,57,0.83,0.95,0.72,0.67,0.33,0.00,0.00,0.00,52,3508889,0.32,0.34,0.31,14,28,1,1600000,2000000,1200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
0,4.99,65,3.26,8.61,0.36,0.00,0.00,0.00,0.00,0.00,39,865675,1.04,2.60,0.18,57,104,19,900000,1200000,700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,351,1.74,3.09,0.40,0.14,0.14,0.00,0.00,0.14,22,1000050,0.50,0.81,0.20,124,129,119,2350000,4000000,700000,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,88,0.77,2.55,0.04,0.80,1.00,0.00,0.00,0.00,31,858644,0.27,0.52,0.02,18,36,0,10810000,50000000,800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,36,1.40,1.67,1.23,0.00,0.00,0.00,0.00,0.00,52,274391,0.49,0.77,0.30,52,94,21,800000,950000,550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,14.99,47,9.44,12.68,6.21,0.00,0.00,0.00,0.00,0.00,26,10488724,1.52,1.52,1.51,253,399,108,1325000,1700000,950000,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.17
0,2.99,113,0.39,0.77,0.05,0.80,2.40,0.00,0.00,0.00,31,240000,0.13,0.26,0.01,0,0,0,775000,1000000,550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,33,4.26,4.26,4.26,0.33,0.33,0.00,0.00,0.00,52,864985,0.75,0.75,0.75,0,0,0,1350000,1350000,1350000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1,4.99,31,0.83,1.97,0.11,0.50,0.50,0.00,0.00,0.00,26,443886,0.28,0.70,0.05,0,1,0,1166666,1350000,950000,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4.99,38,2.35,2.71,1.99,0.00,0.00,0.00,0.00,0.00,52,869478,0.83,0.97,0.69,42,49,35,1425000,1900000,950000,0.00,0.00,0.33,0.00,0.00,0.00,0.00,1.00,0.00
1,2.99,23,5.52,10.37,0.68,0.25,3.00,0.00,0.00,0.00,39,568753,0.55,0.72,0.38,35,70,0,950000,1200000,700000,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0,4.99,97,4.04,8.57,1.08,0.00,0.00,0.00,0.00,0.00,26,8809664,1.29,2.66,0.44,57,123,11,900000,1200000,550000,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00
0,9.99,41,4.96,9.21,0.72,0.00,0.00,0.17,0.00,0.17,26,2400000,0.99,1.82,0.15,182,266,98,700000,850000,550000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0,9.99,76,2.88,4.09,1.68,0.50,0.75,0.00,0.00,0.00,39,2370106,0.48,0.56,0.40,0,0,0,1475000,2000000,950000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0,4.99,37,0.42,0.68,0.17,0.33,0.33,0.00,0.00,0.00,52,1358636,0.26,0.38,0.14,21,42,0,950000,950000,950000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,56,21.43,61.45,0.97,1.00,2.00,0.00,0.00,0.33,53,1234354,0.45,0.94,0.20,0,0,0,950000,1000000,900000,0.00,0.00,0.33,1.00,0.00,0.00,0.00,0.00,0.00
0,4.99,147,1.82,3.37,0.28,0.50,1.25,0.00,0.00,0.00,40,2059208,0.38,0.72,0.03,0,0,0,1125000,1550000,700000,1.00,0.25,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0,9.99,50,1.27,1.27,1.27,0.25,1.75,0.00,0.00,0.00,40,1465348,0.38,0.38,0.38,0,0,0,1350000,1350000,1350000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,48,2.94,6.40,1.10,0.33,0.33,0.33,0.33,0.33,53,440437,0.65,1.09,0.37,10,27,0,1083333,1600000,750000,0.00,0.00,0.33,0.50,0.50,0.00,0.00,0.00,0.00
0,4.99,43,2.47,6.34,0.27,0.75,0.75,0.00,0.00,0.00,40,1951836,0.48,0.67,0.33,0,1,0,933333,1000000,850000,0.00,0.25,0.25,1.00,0.00,0.00,0.00,0.00,0.00
0,4.99,101,2.42,2.42,2.42,0.13,0.13,0.00,0.00,0.00,20,281600,0.51,0.51,0.51,331,331,331,1100000,1100000,1100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,452,4.45,4.45,4.45,0.13,0.13,0.00,0.00,0.00,20,5062919,0.71,0.71,0.71,0,0,0,850000,850000,850000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,61,6.31,11.16,0.33,0.00,0.00,0.00,0.00,0.13,20,240000,2.44,5.81,0.12,138,181,108,983333,1000000,950000,0.00,0.13,0.13,0.00,0.33,0.00,0.00,0.67,0.13
